t	gametext/Ttr_001	Witaj! Korytarz przed tobą prowadzi do strefy samouczka, gdzie poznasz podstawy sterowania i kilka ważnych mechanik.
t	gametext/Ttr_002	Podwójne Katany to twoja domyślna broń biała. Naciśnij <color=white>lewy przycisk myszy</color>, żeby ciąć. Spróbuj rozbić skrzynię.
t	gametext/Ttr_003	<color=white>Prawy przycisk myszy</color> łączy katany w broń miotaną. <color=white>Lewy przycisk myszy</color> je wyrzuca. Spróbuj rozbić skrzynię w ten sposób.
t	gametext/Ttr_004	Rzut katanami zadaje bardzo duże obrażenia, ale ma czas odnowienia. W tym czasie możesz walczyć gołymi pięściami. Rozbij skrzynię ponownie, gdy rzut się odnowi.
t	gametext/Ttr_005	Dobrze! Przejdź do następnej sali, aby kontynuować samouczek.
t	gametext/Ttr_006	Naciśnij 'Spację', aby skoczyć.
t	gametext/Ttr_007	Przytrzymaj 'Spację', stojąc przodem do drabiny, aby się po niej wspiąć.
t	gametext/Ttr_008	Przytrzymaj <color=white>L-Ctrl</color>, aby kucnąć i przejść tunelem.
t	gametext/Ttr_009	Naciśnij <color=white>klawisze ruchu + Shift</color>, aby wykonać doskok. Spróbuj doskoczyć na platformę.
t	gametext/Ttr_010	Doskok ma krótki czas odnowienia. Możesz go wykonać w powietrzu podczas skoku. Doskok w powietrzu pokonuje większy dystans niż ten na ziemi.
t	gametext/Ttr_011	Naciśnij 'E', aby pociągnąć dźwignię, otworzyć żelazne wrota i przejść na strzelnicę, gdzie poznasz Spowolniony Czas.
t	gametext/Ttr_012	Naciśnij <color=white>Z</color>, aby włączyć Spowolniony Czas.
t	gametext/Ttr_013	Templariusz potrafi w walce włączyć Spowolniony Czas, a energię na niego ładuje, zabijając demony. Spróbuj spowolnić czas i ostrzelać skrzynie. Naciśnij <color=white>lewy przycisk myszy</color>, aby strzelać, i 'R', aby przeładować.
t	gametext/Ttr_014	Ten portal zaprowadzi cię do kampanii. Powodzenia!
t	gametext/Ttr_015	Podwójne Pistolety to twoja domyślna broń dystansowa.
t	gametext/Ttr_016	Ten portal pominie samouczek i przeniesie cię prosto do kampanii Dread Templar. Zdecydowanie zalecamy przejść samouczek choć raz przed rozpoczęciem gry.
t	gametext/Ttr_017	Naciśnij <color=white>L-Ctrl</color>, aby płynąć w dół.
t	gametext/Ttr_018	Naciśnij 'Spację', aby płynąć w górę.
t	gametext/Ttr_019	Ten portal zaprowadzi cię do Mrocznych Krain i poziomu trudności Koszmar. W trybie Koszmar apteczki znajdziesz wyłącznie w sekretnych miejscach.
t	gametext/Ttr_020	Naciśnij 'E', aby dowiedzieć się o zmianie broni
t	gametext/Ttr_021	Bronie korzystające z tej samej amunicji należą do tego samego rodzaju i dzielą jeden klawisz. Domyślny klawisz Strzelby Pompki i Dubeltówki to 3. Kliknij prawym przyciskiem myszy albo naciśnij klawisz broni, aby przełączać się między bronią tego samego rodzaju.
n	gametext/Ttr_021	Zmiana broni
t	gametext/Ttr_022	Naciśnij 'E', aby dowiedzieć się o Ołtarzu Ulepszeń
t	gametext/Ttr_023	Ołtarz Ulepszeń to miejsce, w którym postać osadza Runy Templariusza w broni i w sobie samej. Krwawym Klejnotem odblokujesz slot, a przeciągnięcie Runy Templariusza do odpowiedniego slotu uruchamia jej zdolność.
n	gametext/Ttr_023	Ołtarz Ulepszeń
t	gametext/Ttr_024	Naciśnij 'E', aby dowiedzieć się o Runach Templariusza
t	gametext/Ttr_025	Runy Templariusza to szczególne przedmioty wzmacniające broń lub zdolności postaci. Każda runa pasuje tylko do jednego rodzaju broni. Niektóre złote runy potrafią nawet całkowicie zmienić wygląd i działanie broni.
n	gametext/Ttr_025	Runy Templariusza
t	gametext/Ttr_026	Naciśnij 'E', aby dowiedzieć się o Krwawym Klejnocie
t	gametext/Ttr_027	Krwawy Klejnot, zakrzepły z krwi demona, służy do odblokowywania slotów na runy w postaci i w broni przy Ołtarzu Ulepszeń.
n	gametext/Ttr_027	Krwawy Klejnot
t	gametext/Ttr_028	Naciśnij 'E', aby dowiedzieć się o Energii Spowolnionego Czasu
t	gametext/Ttr_029	Energia Spowolnionego Czasu to część Mocy Trwogi. Potrafi znacząco naładować pasek Spowolnionego Czasu.
n	gametext/Ttr_029	Energia Spowolnionego Czasu
t	gametext/Ttr_030	Eksplorując obszary poboczne, zdobędziesz lepsze łupy — Runy Templariusza i Krwawe Klejnoty. Ale im większa nagroda, tym większe ryzyko.
n	gametext/Ttr_030	Obszar poboczny
t	gametext/Ttr_031	Naciśnij 'E', aby dowiedzieć się o obszarach pobocznych
t	gametext/Ttr_032	Naciśnij 'E', aby dowiedzieć się o halloweenowym obszarze pobocznym
t	gametext/Ttr_033	Portal do strefy plugawego Bezgłowego Nekromanty został otwarty. Stawisz czoła wskrzeszonym legionom i położysz je trupem, żeby zdobyć halloweenową runę 'Klątwa Dyni' do Miotacza Pułapek?
n	gametext/Ttr_033	Halloweenowy obszar poboczny
t	gametext/Ttr_034	Naciśnij<size=50><sprite=8></size>, aby otworzyć układ pada
t	gametext/Ttr_002_0	Podwójne Katany to twoja domyślna broń biała. Naciśnij <size=50><sprite=0></size>, żeby ciąć. Spróbuj rozbić skrzynię.
t	gametext/Ttr_003_0	<size=50><sprite=1></size> łączy katany w broń miotaną. <size=50><sprite=0></size> je wyrzuca. Spróbuj rozbić skrzynię w ten sposób.
t	gametext/Ttr_006_0	Naciśnij <size=50><sprite=7></size>, aby skoczyć.
t	gametext/Ttr_007_0	Przytrzymaj <size=50><sprite=7></size>, stojąc przodem do drabiny, aby się po niej wspiąć.
t	gametext/Ttr_008_0	Przytrzymaj 'L-Ctrl', aby kucnąć i przejść tunelem.
t	gametext/Ttr_009_0	Naciśnij <size=50><sprite=10></size> + <size=50><sprite=3></size>, aby wykonać doskok. Spróbuj doskoczyć na platformę.
t	gametext/Ttr_011_0	Naciśnij 'E', aby pociągnąć dźwignię, otworzyć żelazne wrota i przejść na strzelnicę, gdzie poznasz Spowolniony Czas.
t	gametext/Ttr_012_0	Naciśnij 'Z', aby włączyć Spowolniony Czas.
t	gametext/Ttr_013_0	Templariusz potrafi w walce włączyć Spowolniony Czas, a energię na niego ładuje, zabijając demony. Spróbuj spowolnić czas i ostrzelać skrzynie. Naciśnij <size=50><sprite=0></size>, aby strzelać, i 'R', aby przeładować.
t	gametext/Ttr_017_0	Naciśnij 'L-Ctrl', aby płynąć w dół.
t	gametext/Ttr_018_0	Naciśnij <size=50><sprite=7></size>, aby płynąć w górę.
t	gametext/Ttr_035	Naciśnij 'E', aby otworzyć panel ulepszeń
t	gametext/Ttr_036	Naciśnij 'E', aby dowiedzieć się o Trybie Strażnika
