491a76316eec33b4e9c7f3455ef790c5	Kto projektuje ten budynek? To nie ma sensu!
a3e54937e2684c741bf0844bcd61aa8a	Ktoś ukradł projekty...
b4381cb754a24274998c92a380ec42d6	Więc stawiamy pokoje gdzie popadnie.
e6d23279375934945bd944fe2d8ea2a2	Jest całkowicie bezpiecznie.
1311839251790ea4da50e8abf1b7b499	Ten Minister Zbrodni podoba mi się coraz bardziej!
2ba992623d056db48a99de380df6c0d3	Ma twarz, której nie można ufać...
f9cf850afce745f458501c339d154577	Cenię to u polityka.
bbb80e9f3cf203045919446bfa086997	Nie jestem pewien co do tego gościa...
eece398293edea442b3d17cdace2c144	Coś mi tu nie gra...
3ecedcf04e22f424ba4abb1aaf4e295c	Czy on w ogóle ma kartotekę?
cb8bfc3f1af36254fbe48745ddedbb47	Ceremonia inicjacji w Gangu Przemocy to nie przelewki.
a56a56c35ddd0ef4cafb229dc417e367	Ale nie ma dźgania bez dźgniętego.
8e54c087a387b344ab2e3273c184570d	Świetnie ci idzie!
999d848ffa1f429489ca991708d9b1b3	Najlepsza ofiara dzisiejszego dnia!
2653f99476a989e449740c60638a523b	Wychodzisz z Bayview Heights?
33867e4935743c74bb46a9ba3a512f38	Co tam się, do cholery, stało?
e20ed1393b880d74fa342219e7213e40	Słyszałem strzały i wrzaski...
cff781a9c046314478967ba2fcba6fca	Ale ci zazdroszczę!
131143651006fd84e863147c4ef51a58	Nie mam zbyt wielu przyjaciół.
007671cc4fcd42f4bbbc548d9586af23	Ale i tak lubię ćwiczyć.
04c75f02343ed044f9d8a6ba8d908114	Jak sprawić, żeby dziewczyna mnie zauważyła?
5461f0779e5ef9841b606f9291b126d5	Próbowałem podpalenia, wandalizmu ORAZ kradzieży.
13b5fc4fc42649440b50e76a97c2f2ce	Gang Przemocy rządzi na tych ulicach.
4ba86716839f6b843950fafb96d93871	A Gangiem Przemocy rządzi Glut Glina.
bfb4b94254dae384bbe72a1068e90456	To mój bohater!
0630d0457e8c5e84f863a4ead7212b2d	Ale on przystojny!
591e998072885de4e848e6859aa10cc4	Ja wolę jego partnera, Worka Glinę.
40ebdddd71d54cc4d911069f4f3d8715	Co za ciacho!
5cf4a7ac631536944b066c4cc94396b5	PUK PUK!
3e23ec682c2db7c4a9d3c09eb3a5ff20	NIE SŁYSZĘ TAM ŻADNEJ PRZESTĘPCZOŚCI!
baeb6286f1cea2a4da2273b69e397175	Te ceny to rozbój w biały dzień!
cb0d76d069016144a94f51a64f75580b	Jestem za wymuszeniami, ale to już przesada...
a58b9ea5b77869d4fb8b7444717379bc	Na szczęście jestem też za kradzieżą w sklepie!
cef614bcb72d12249a37c3a6f377a443	Ciężko uczciwie zarobić w Zasranym Mieście.
8e33c61ab32ca7c488841810df57a185	Musiałem ukraść te hot dogi starszej pani.
eae28b07d79ac5142b6eaa9660c5bf39	Jestem twoją matką, idioto!
a760e8e6bfd0d384a8c8a33badebba1d	Natychmiast to oddawaj!
12551e044c949714e9528b0c7a9ca6db	...
5ff5723d229ff9841bd1bb8307ecaaf2	Spadaj stąd!
c84164863d5ac234d9229c144ab9979c	Wydasz mnie!
4d199b4292796484d9975cfc065b229c	Nie przeszkadzaj. Podziwiam widok...
a95058a8d739faf4dbc06d07ac86d8d7	Napady są piękne o tej porze nocy.
6c88530c6a7d8854abb561839c9a62a2	gugu...
94efc34df98dd1048a1e0dc02c86227f	gaga...
